comment_sentences,word_mover_distance,useful_wmd
oui julien lamentable c’est mot convient cette vilaine pièce d’un théâtre grotesque deux chantres cette fusion purement comptable savare lorenzetti bien mal convaincre euxmêmes d’une quelconque pertinence opération savare s’est tout simplement débarrassé stade français coûtait trop cher md ,1.009301709273574,1
suffit lire biographies respectives 2 décideurs comprendre rugby n’a rien voir dedans rien tout ,1.63658256928838,0
première décision résume tout garde jean bouin subventions jouer rugby  l’arena dont partie a juteusement vendue trésor public dévolue faire business ,1.2068930743968753,1
n’ai rien dire dis quand rien marquer retour nicerugby amis  ,2.5574870149597637,0
quand fusion ercété ´l’om mitemps foot l’autre rugby voilà l’évolution marche ça va marcher  ici billets  ,1.9575581776663538,0
hahaha ,9.814874076371762,0
bisous ,5.182115240383117,0
si content pouvoir relire chers auteurs contributeurs suiveurs nicerugby tellement triste grâce cette navrante décision ,1.7957411830606993,0
a bedarrides joueurs supporters aussi fusion non  ,2.2951372540063324,0
sans suivre rugby devenu sans saveur  merci retour force forme  ,2.3321986372733527,0
« car quoi  paris donc capable d’assumer deux structures haut niveau quand londres saracens harlequins wasps » ,2.3654400770671953,0
wasps coventry ,3.4393100346808803,0
délocalisés depuis 2 ans effectivement… c’est bien club londonien ,1.8632605357449612,0
ceci dit a débat foot… ,4.087368680079334,0
pense ça tout fait comparable entre londres paris ,1.8093190128627739,0
c’est vrai opposer londres paris n’est forcément pertinent coup conçois j’avais oublié aussi london irish… ,1.4801363838341655,1
disons bien faire vivre 2 clubs rugby paris bassin 10 millions d’habitants semble bout monde js ,1.8323803723409824,0
londres berceau historique rugby communautés clubs clubs supporters affiliés comparaison impossible paris n’en parlons fusion deux clubs n’ont public 10000 pers remplissage moyen ville 10m stade 20000… rochelle fait guichets fermés 80 000 hab mm pro d2 c’est triste dire l’appel supporteurs lundi soir a réuni 100 pers… mieux qu’un club fed3 egalement gens « choqués » racing déjà fruit d’une fusion deux clubs sortis fed 3 grâce cash présidents respectifs guazzini oui savarre sf joueurs marqués car a histoire d’hommes tous vivent sf sans public difficile club pro vivre…billetterie attrait partenaires avoir partenaires faut public faire pub…c’est simple fusion biarritzbayonne bcp bizarrement d’un point vue économique fallait bassin eco basque n’est paris c’est public l’a empéché preuve « clubs »nous verrons si public sf fera tomber cette fusion… doute voir manifester ,0.975517646765271,1
ps wasps historiquement coventry c’est retour sources… ville rasé durant seconde guerre ,1.5992404505916669,0
sf aussi résulta d’une fusion casg ,2.777775074194763,0
supporters sf dont réfère autant l’histoire club qu’à décalageoriginalité récente justifier présence cependant l’histoire club n’est suffisante fait disparition pendant longues années haut niveau décalage a tendance s’estomper professionnalisation beaucoup sens ,0.7825274919732704,1
bassin autour clubs indicateur n’est seul faut ancrage historique jeu sinon lou ferait yoyo marseille club haut niveau aussi c’est plutôt toulon coin parc semble pouvoir jouer premier plan ,1.3066412763379027,1
cdelarochelle connaissez manifestement sf donc n’en parlez car cette fusion peut être vu l’histoire clubs vécu identité … rien rapproche toujours rivaux depuis leurs premières finales fin xixème ,1.1282537694564168,1
quant nombre supporter c’est argument bien pauvre déplacer paris n’est simple petite ville… donc effectivement lundi n’y grand nombre j’ai connu l’ancien jean bouin plein craquer nombreuses fois sans parler stade france donc oui a public déplaise vrais afficionados ,0.9020004673495399,1
jamais ferez supporter déplacer nombre supporters sf supporter racing jamais  ,2.0808868542969248,0
supporters feront peut être échouer fusion manière directe là soutenir joueurs c’est déjà beaucoup  difficile réunir monde paris pleine semaine quelques heures beaucoup gens travaillent loin peux dire joueurs stade français heureux d’avoir soutien lors rassemblements s’il n’est pléthorique  puis soutien vient aussi d’ailleurs ça pense beaucoup gens n’avaient imaginé qu’il d’une telle ampleur  a solutions solutions trouver savare a menti a tellement monde cette affaire quand l’autre veut mort stade français beaucoup gens mettent tout œuvre qu’il l’ait nonalafusion ,0.7482024121270255,1
rodolphe m’avait dit arrêtiez ravi retrouver crois bien n’avoir rien dire cette fission cela écrit j’aime bien nouvelle équipe france rugby bise évidemment ,1.494938332060627,1
rugby patrimoine national comme phares mer camembert où tourtière landaise c’est titre structures plus emblèmatiques devraient être protégées ,1.4274962841949959,1
heureux lire nouveau chroniques… toujours pertinentes   vieillit vieux ,2.6385179697739054,0
bel article excellente analyse… a quatrième club londonien london irish certes font navette entre premiership niveau inférieur n’en constituent moins preuve qu’une grande capitale peut supporter pareille pluralité choix varié a noter qu’il va côté manchots  puisque chelsea arsenal tottenham westham d’autres encore… quand paris porte petit psg comme quoi s’agit plus d’une véritable culture l’amour sport l’on trouve chez anglais quand france contente rentabilité financière uniquement minables dirigeants achetés vitrine ego dispropotionné ,0.7508047121457219,1
wasps londres a coventry ,2.7670112013982653,0
oui l’a évoqué commentaire précédent club londonien délocalisé coventry depuis 2 ans après 120 ans passés l’ouest capitale… disais donc j’aurais pu m’abstenir cette comparaison entre paris londres n’est forcément pertinente sujet car foot connait aussi décalage ,1.0531305673667437,1
j’aurais dû insister d’avantage fait qu’il parfaitement possible faire vivre économiquement 2 clubs l’élite bassin 10 millions d’habitants js ,1.601423631778528,0
problème paris c’est qu’il plein supporters rugby d’autres clubs ,2.362416768887658,0
a intérêt poli sf etou r92 supportent club leurs origines l’attachement identitaire fait origine familiale plus géographique ,1.4720146992408971,1
pense st l’asm plus spectateurs si jouaient région parisienne qu’en clubs locaux ,1.4247755750477837,1
