clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
jacky lorenzetti thomas savare respectivement présidents racing stade français donc bien point commun comprennent toujours rien rugby,"[1.8287899001668424871e-616, 2.3561601635890078026e-566, 5.029247244281565284e-602, 5.0730279140680618995e-555, 1.7521132354329039783e-637, 6.044270184272430687e-683, 3.1921592612777255097e-593, 1.1597247944360796617e-571, 8.332874485363071019e-603, 3.886923383575634611e-636, 3.1636791016733141804e-574, 3.4615693911567706518e-553, 5.635844840324080413e-582, 1.3651605451256336616e-639, 1.1829200914445351931e-576, 6.7731095562960972464e-615, 8.725498207685137538e-606]",0.0,17
businessmen succès pensaient pouvoir imposer vision capitalistique monde l ovalie injectant d abord beaucoup moyens financiers puis espérant retour rapide investissement,"[3.5213123408544735275e-634, 2.2764380729440991856e-528, 1.1167372266135611415e-637, 8.9750573093229496923e-734, 3.66164710014665076e-645, 3.062092613508649778e-604, 1.2650356714071894002e-621, 2.03210153325602664e-662, 1.1958270371606881213e-673, 9.511513341789096812e-609, 7.9513014126017971293e-687, 1.6545243282181049986e-545, 4.7028305826708936915e-657, 1.272682802145358863e-653, 6.134378172889218369e-663, 3.0301587577413255105e-616, 9.653686458555872568e-547, 1.9656270230104455442e-686, 1.1940504852736324483e-658, 5.622012528454267861e-615, 4.3894272760731066344e-492]",0.0,21
sauf sport rugby particulier mondes bien différents ceux qu ils fréquenté auparavant,"[2.1794931478517737483e-655, 7.456671393931746118e-612, 1.1545288132515422466e-727, 1.9147121017279907788e-605, 3.167303730288128984e-645, 1.0050337214572318205e-638, 1.997205830294278527e-538, 2.8664058659158831464e-708, 2.4830101255442141844e-654, 3.461323563980562397e-666, 1.8190981368378088758e-640, 7.418745652919277552e-685]",0.0,12
titres champion france stade français racing semblaient pourtant avoir confortés si succès acquis ressorts bien différents surprise victoire stade français basée forte dimension humaine succédé l implacable machine concasser construite fil ans racing grands coups millions,"[2.500005881822387632e-744, 1.9609746186611806271e-665, 4.2204679808229217377e-703, 1.13969560003153247656e-698, 1.50307034683513558e-755, 6.018244833440110248e-700, 1.7415177254961238752e-608, 3.6076148574409770743e-682, 5.5354943485408129683e-695, 9.496026515152203989e-746, 1.5178333591058522933e-684, 1.4484675355066752769e-609, 6.0477735813975887706e-686, 8.894153359555066984e-646, 6.852538735002131847e-725, 8.606020863227167659e-771, 6.2731659005273349305e-752, 1.1330023542366731394e-679, 3.3396516414389256868e-678, 1.2681333941317076219e-702, 4.008170256587742801e-685, 5.123045856033012699e-700, 1.1721210873528380755e-628, 2.5079536907189528802e-710, 4.2888099568771786373e-701, 5.245459030118412732e-749, 1.4293941666051821127e-718, 5.8630352848351215517e-669, 2.9593761126127538105e-651, 1.3926099758013444512e-595, 4.485073048199987685e-613, 1.2184831645408893408e-649, 4.1093355495961724807e-647, 2.350848212552061243e-699, 3.8800674799328559465e-699, 2.918831426202490633e-651]",0.0,36
quelques années passées diriger deux belles unités pu façonner faire évoluer donner cette dimension humaine jeu finalement raison d être,"[1.5175426383107187392e-650, 3.2698411895994520318e-681, 5.7952333066586664414e-720, 5.874532860078703061e-700, 1.4464806690944687831e-613, 6.5378225421540052067e-668, 2.0329906610184025987e-604, 8.210404163770001898e-668, 3.7674948254168333926e-662, 2.0867607834541449948e-667, 1.2046352261053617686e-536, 8.0505382151429044495e-580, 9.295877353527889022e-566, 1.7284285512668347911e-707, 8.277325164849271645e-724, 7.758734707886697902e-661, 3.9998135116046941605e-700, 3.2383304290820233023e-654, 2.0502255433527611313e-658, 2.4944228904736690468e-607]",0.0,20
n en a rien,"[5.5934041938862811075e-587, 8.0210030185177969027e-584, 9.462776446017810936e-723, 1.1006622354472882247e-621]",0.0,4
n ont rien appris,"[9.4996749677470888576e-706, 7.598872025789330754e-617, 5.0213685842052563802e-623, 7.2122595198998556e-693]",0.0,4
n ont rien compris,"[4.2635113349071809835e-623, 4.6120490953607655987e-686, 4.600265170191164707e-553, 2.3258529631311371881e-742]",0.0,4
l histoire retiendra finalement qu ils bientôt fossoyeurs d un rugby parisien a pourtant parfaitement moyens d imposer deux clubs l élite peu qu on pète plus haut cul l on n aille rechercher systématiquement l hémisphère sud compétence moyens humains dont puissant comité d ile france dispose depuis longues années,"[5.024453400796295757e-672, 1.5484163316777859083e-645, 1.1556766068947573807e-722, 1.1526353153011283112e-655, 4.452022250930929061e-714, 1.3946080887856135143e-728, 1.484620089260617344e-786, 2.011101649352875241e-649, 1.1583132945781212758e-625, 4.752410490721686292e-655, 1.0331143666173584417e-592, 1.498539317849195047e-719, 8.2545396721454621055e-699, 2.450652280519719441e-577, 1.3568220039079430013e-686, 2.7335729369604923228e-654, 8.2327017278755304524e-660, 4.6453385774323253277e-725, 1.7835888808508510924e-698, 6.6661179688570585273e-662, 4.0416060333827682934e-632, 9.968742396363257375e-733, 4.4379640756015531136e-675, 4.0030871382378055937e-649, 8.820246771297136499e-657, 1.1377589730701903743e-641, 2.839879935903584193e-665, 5.2897443297102338613e-709, 5.7150896007923980644e-629, 1.4926873929304788372e-691, 2.1637819293249944027e-702, 4.31263090702642e-664, 1.6461467647053869586e-655, 3.3796008072942426005e-610, 8.001713358393598811e-653, 4.750146347210589563e-625, 4.1550284855732248153e-678, 8.4751291005697915044e-730, 2.2611593655853982192e-686, 6.739966253629059349e-672, 4.4428290595704931765e-704, 1.0422726042619475494e-675, 1.1043500060714706815e-686, 6.7784206877837890267e-692, 2.2541790792477963173e-666, 1.142886693556126519e-677, 1.0934163673480501356e-662, 2.5179664921494007406e-685, 2.5276500605652767414e-581, 1.5806520187126632817e-590, 4.299150765807244039e-630]",0.0,51
car quoi paris donc capable d assumer deux structures haut niveau quand londres saracens harlequins wasps possède trois vivent très bien jacky thomas pensent autrement donc décidé autrement,"[1.23564541253969679874e-610, 2.4157235017963942957e-710, 1.1851676365113993694e-633, 5.626504987231917365e-600, 9.062683610708250894e-658, 3.021200502395208653e-713, 3.345792005732264184e-687, 5.160210101596947358e-657, 1.1462662456415778538e-607, 5.972905792425582553e-736, 1.2869341911412745483e-689, 7.5659485764147843254e-649, 4.5529672970785772722e-532, 5.0576176539565076525e-595, 1.0748171757905948733e-608, 6.778722156325088003e-688, 3.9218001083303828146e-596, 2.472710457676284815e-545, 8.379665938835673117e-550, 9.7528859402493761704e-623, 3.1005426589986668723e-707, 1.8814943125034894229e-556, 3.3586235951832196562e-469, 6.5361302758226244657e-482, 8.696155161327530725e-642, 9.293118702437265403e-595, 3.763106656954403672e-667, 3.2318366369376907148e-557]",0.0,28
