clean_document_sentences,reader_attention_of_each_word,average_reader_attention,sentence_length
curieux sentiment vouloir qu aucune deux équipes affrontées samedi montpellier match barrages top s final racing l a emporté toute logique sillage d un grands jours d un pack autour formidable nyanga a fini faire plier montpellier,"[1.8696902529415874916e-177, 6.219506772725836684e-313, 3.629172113448606226e-224, 3.150298346713105513e-254, 9.5591869284178842815e-261, 9.97475712297177418e-229, 1.7918596483120855908e-242, 6.7623901616982311886e-144, 5.5317506367360749493e-282, 7.5886082725137890754e-129, 2.1019663527884578135e-268, 3.1722249168239929224e-184, 9.628075890286644456e-189, 5.567732654613244474e-110, 9.020842348709730919e-223, 4.5566387315272278188e-274, 1.0750985417586926065e-255, 1.5465433479861147695e-260, 2.2941885704664338029e-165, 3.348790077879160797e-238, 5.099026281832374761e-207, 2.4778577566063862381e-247, 1.8536609852366068356e-270, 7.905001763568646119e-224, 6.47374051627329083e-342, 2.684023428558511838e-310, 1.930594289893931209e-236, 5.725333122525423362e-246, 6.1707554647473735165e-396, 9.701476932595348325e-368, 5.6791475108136094286e-321, 1.794958763527068868e-324, 2.12283258888784896e-362, 1.3386582719392227244e-300, 1.3204662011452651869e-302, 1.81347507704854254e-360, 7.848016688733675892e-253]",1.504792609354931e-111,37
avouons rien l emballage cette rencontre sommet n avait goût rugby l on aime celui d un jeu appartient d abord joueurs celui d une aventure humaine l on a envie suivre,"[4.9564222322953642653e-265, 2.5686520621054605267e-248, 4.78775323905573356e-306, 6.232468194664598547e-210, 8.108030233226653255e-338, 4.3212527332294082097e-264, 6.823081088679751133e-334, 1.0392731160300412447e-268, 1.6086462229008426395e-280, 1.0745062883509344948e-264, 1.6398809224232558482e-247, 6.498462756275963655e-352, 1.6357502883929803224e-228, 1.4698991186611550035e-285, 5.0177168741305913234e-346, 1.523643289902350395e-317, 2.8985795353960730274e-130, 1.0236130334198926956e-246, 1.0714923649181664436e-255, 1.20983900074461866605e-234, 3.1319195262271136345e-317, 1.668222483749277876e-291, 2.13309565576558504e-277, 3.8598192732095184982e-273, 1.627585986269532921e-298, 3.8835417614073912315e-263, 7.0607538544089218644e-298, 2.0866187313825774618e-149, 2.483473389261240731e-339, 1.8420893767860283295e-125, 1.1420000270413061371e-198, 1.7514776099006760827e-280]",5.756619883066819e-127,32
dommage car part d autre a hommes mériteraient justement qu on emboîte fulgence ouedraogo côté héraultais yannick nyanga côté francilien notamment portent valeurs jeu partage solidarité d exemplarité transmettent depuis toujours sport,"[1.5457206310489376115e-284, 1.380978265120805949e-154, 8.0652288008191711046e-317, 1.3859431987634950947e-270, 2.9255141325094279222e-287, 1.9669106796059843794e-211, 2.1039195515562655362e-280, 2.2720746332438798382e-258, 5.806175826896003254e-293, 5.2268428614159489968e-368, 2.9007534127796087708e-216, 8.089376866243574349e-316, 5.018141210759675373e-154, 8.213580450236094097e-306, 6.2378950028399306715e-221, 7.767155602072146089e-286, 7.599467083429304941e-185, 1.7829129149994633546e-304, 1.8166418752184103914e-238, 9.935012735580922882e-244, 1.9352547398850866476e-336, 5.746470909195363879e-198, 1.1412139394937643877e-87, 5.2961166172496871396e-229, 5.6740941267539316298e-314, 2.3412215470657126663e-146, 1.2793819572693652655e-272, 3.2368991146092664772e-257, 9.2949402192603105e-84, 5.1239433401303419896e-251, 7.0506288176796064778e-40, 5.65408460015419719e-120]",2.203321505524877e-41,32
jacky lorenzetti mohed altrad voulu autrement point d avoir rendu leurs deux clubs particulièrement antipathiques,"[6.0380833876325512914e-179, 9.5076031766844364815e-129, 1.0, 2.2965335318186183003e-158, 2.3499584775575819866e-142, 5.725485125834096576e-358, 2.8414020372267469613e-247, 9.57890577405102013e-325, 3.0700341387406999072e-225, 2.9614381155753800892e-261, 4.8281828129049350055e-313, 1.9604511370789235524e-261, 1.15071535637042475234e-266, 5.534556800486441222e-333, 5.4041909723970808886e-292]",0.06666666666666667,15
veulent lumière occupent coûte coûte l espace médiatique,"[1.2084596686557373165e-194, 5.7819194693678389453e-216, 4.9037533468685467648e-259, 7.441419945817096277e-195, 3.5072959684246011855e-297, 5.131194406071055891e-286, 4.420286729332191248e-233, 6.362793602943223572e-236]",2.4407520790468087e-195,8
tout permis ridicule,"[2.2461590567125666291e-157, 3.8547062187715105165e-199, 7.598368980987993262e-197]",7.487196855708555e-158,3
surtout ridicule,"[6.956230512141290027e-213, 5.4134863532468812144e-263]",3.478115256070645e-213,2
projet respectif mène nulle part surtout n amène absolument rien rugby français,"[1.8415488850249584776e-135, 1.5219461603138715739e-274, 2.1867629746695755392e-209, 3.1154309902682745321e-232, 1.8245275287680924395e-236, 8.9607712779651485436e-141, 1.8874621727890990828e-207, 1.6441852504487880823e-197, 1.366986033866557342e-215, 2.1395954107437319615e-260, 2.4061887909967370047e-296, 9.007702236150965948e-255]",1.5346315381635304e-136,12
racing n a plus rien voir formidable ancêtre années termes d image,"[1.35800624517716159555e-306, 1.0073965836338450377e-236, 1.4684303246240679281e-216, 1.726876745743574863e-270, 9.774003776307706272e-161, 8.863882882965980381e-171, 5.4443987700679646648e-269, 9.5923513248257403084e-228, 4.0825724363721122028e-135, 1.2592465471907843937e-251, 2.3979218450066056428e-152, 1.6822997936320105569e-286]",3.4021436969767603e-136,12
montpellier a détruit quelques saisons tout duo savamment bâti faire club héraultais référence matière jeu formation,"[1.7852094843006671144e-261, 2.0439927024559651587e-293, 1.4173336620490509013e-265, 8.286794683011797393e-328, 1.8866234734937406978e-184, 4.59499693131929769e-233, 1.4848823016788796277e-322, 2.7880441858022846732e-113, 1.0968249265059843996e-283, 2.0348150931084827206e-245, 2.3725353412293600052e-213, 9.393379352333430753e-228, 2.800871503004355412e-275, 7.529582143394424144e-160, 5.6379713598875468257e-275, 5.186648601427210962e-228]",1.742527616126428e-114,16
s amuse désormais compter joueurs sélectionnables équipe france,"[2.430106737148937626e-279, 5.198444617483683392e-196, 1.4060290961188861006e-225, 8.079156038383852112e-212, 3.8812194866015313775e-247, 3.7510649188394185766e-304, 4.1249523766177143645e-233, 3.6986560108226012214e-177]",4.6233200135282517e-178,8
compte aussi protocoles commotion car part d autre kiffe rentrer dedans,"[5.655155606070108418e-184, 1.2269979464587131824e-320, 6.154301720276968292e-235, 2.6726158449844055566e-232, 1.1635768294608602981e-151, 7.416437439863072709e-193, 1.1858890567446548329e-172, 1.3731000821652335305e-125, 6.2013549764831278524e-295, 1.1401624353606882828e-183, 1.1284516855825544224e-291]",1.248272801968394e-126,11
constate quel point joueur sudafricain devenu incontournable top dit tout cela ressemble beaucoup font déjà saracens beaucoup moins bien final bilan plutôt accablant,"[9.230553429487238369e-180, 2.6401375111122965222e-221, 1.615451606740733313e-222, 1.0962511705522693452e-271, 4.6937430954109120366e-375, 8.4058673144971005736e-325, 3.881846879677628652e-335, 7.503398012144652821e-310, 6.915288004302487305e-321, 8.611139477739746895e-342, 5.6785423163050049475e-347, 8.938572211383618162e-341, 1.3764629682984678624e-326, 9.1224004264008662905e-312, 1.27040181041057445294e-318, 1.1943346305750325921e-330, 1.702589023971811415e-417, 5.7675732876343390037e-349, 1.5047414165188922324e-318, 1.4678717201849639126e-351, 5.3269453347722503604e-329, 1.8469815422162963877e-332, 4.6795798121450018265e-292]",4.01328409977706e-181,23
côté montpellier grande famille plessis a nulle bout bout françois steyn n a l ombre grand joueur qu il a certainement,"[5.3335071940107347218e-326, 4.988148392898521816e-332, 2.8660143731421131246e-340, 3.4698160547586582444e-275, 6.6430129474993484465e-330, 2.5658257256271035558e-304, 4.6255004412524863588e-257, 3.098332931256648072e-354, 2.865772180748679736e-239, 2.7288373328301831383e-320, 1.3015004567111779261e-302, 5.707568802532946153e-371, 6.424980999577943482e-300, 1.461390006119442796e-312, 2.3638028246171342067e-276, 7.6357334983002681383e-382, 4.4871097944789184635e-309, 5.9198234111530617533e-363, 1.33190114629539181965e-288, 1.7872971375221170046e-334, 2.1184862999341966152e-366]",1.364653419404133e-240,21
côté racing m étonne toujours voir dan carter prolonger tranquillement pré retraite rugby pourcentage met guère avantage,"[3.7380363527948691374e-337, 7.205707563599169013e-354, 1.2056917669264282054e-379, 1.358536481661568609e-363, 1.8428505381423358924e-358, 4.593186844625915643e-364, 5.153551940151063058e-326, 2.6268238123157973202e-393, 1.2083274164030501199e-336, 5.4110897545583315092e-306, 3.2880865929250660963e-364, 4.711094775336292261e-358, 3.2020200512797112682e-345, 1.1059717101703708259e-295, 1.8378685338641023633e-379, 2.4209952795640136932e-329, 8.8052828968505465273e-368]",6.505715942496952e-297,17
j aurais voulu qu il reste grand demi d ouverture all blacks qu il tire révérence formidable titre champion monde,"[1.2441339812030167272e-319, 1.1691475526636768666e-379, 6.721110689979727118e-406, 2.9430580509856715762e-376, 2.1807086026687475402e-376, 2.3998007046951486435e-360, 3.5315738121158425867e-354, 4.031208694639490763e-379, 1.656412885572269099e-341, 2.5478595635060270477e-343, 1.3359348608128938443e-352, 1.7637171481946128952e-363, 3.4340810961248818798e-362, 4.9240863844811384783e-393, 3.866117925898681505e-311, 7.054257269916088902e-347, 1.11685766242023655e-383, 1.3572352864783922926e-357, 6.8075453951946754288e-379, 1.5504468090524862511e-350]",1.93305896917e-312,20
jacky a voulu autrement,"[1.4467595122190178198e-328, 8.7357063036841275776e-333, 9.310584295720247755e-329, 9.388166124191286691e-345]",0.0,4
jacky oseille,"[3.4398295737245731027e-342, 3.0197838201264571727e-354]",0.0,2
jacky égo,"[3.1921606110083079338e-371, 2.1200269271087482911e-367]",0.0,2
jacky grande vision rugby paris merci jacky car jacky aussi contagieux l un entraîneurs laurent travers a d ailleurs rattrapé gagnant quelques galons plus samedi stade catégorie « j ai très mauvais esprit »,"[5.65539600251656671e-385, 3.09243316610306315e-362, 5.6215318404058800883e-369, 7.2675297867303578826e-309, 7.4260220219018195146e-346, 3.7470292658123237374e-367, 1.0616477149157559787e-367, 4.7577789233840904017e-388, 1.1275892627987380137e-358, 3.3877175464272431167e-314, 4.2236641192090796209e-333, 1.5641443128680981312e-370, 2.740846669488653568e-352, 1.2399302383201642672e-362, 2.7996750276585289898e-331, 1.7378842286952875865e-361, 2.2860055289204515291e-368, 3.3786784580379259445e-388, 4.9546571067835426486e-345, 1.39733484605986864e-316, 5.1951732141505530545e-355, 1.8394773832804253854e-390, 1.5127499205123402667e-398, 1.1871648809020228504e-409, 3.2726773910745284822e-367, 6.995167019163368061e-385, 4.2234001531683498113e-266, 6.9335666971643908396e-382, 5.047916934966820182e-411, 6.3714291742166650208e-385, 2.675020226701495008e-380, 1.2551765767146900927e-386, 6.1165708552593413735e-371, 5.958163044238400405e-363]",1.2421765156377499e-267,34
voilà tout cela sent rance,"[1.3255576122292004948e-380, 4.695047737025128137e-385, 8.3917905673145270766e-359, 1.7155748461121933344e-320, 4.5594058303735049647e-338]",3.43e-321,5
supermarché rugby privé goût saveur privé d histoire d identité grâce deux grands épiciers rugby français,"[1.3654853899968080406e-338, 1.1289136436206802169e-353, 7.565523280814172645e-393, 7.436478930983121178e-389, 3.931499300088931765e-368, 3.0100196675482861597e-402, 4.6589073971654714083e-357, 4.683488888341758275e-348, 3.0831887616741440512e-329, 1.5835490518289003806e-349, 2.1540901353694433278e-280, 1.9827070894625568766e-350, 1.0609645570682535439e-351, 4.4838960488106975092e-321, 1.1411241944693307869e-304, 1.8527969416219311845e-384]",1.346306334605902e-281,16
js,[5.5134592385762912207e-376],0.0,1
